No,Style Category,Design_DNA,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Complexity,Signature_Elements,Composition_Rules
68,Modern Dark (Cinema Mobile),cinematic glass depth,Mobile,"dark mode, cinematic, ambient light, glassmorphism, deep black, indigo, glow, blur, atmospheric, reanimated, haptic, premium, layered, frosted glass, linear gradient","Deep #020203, Base #050506, Elevated #0a0a0c, Accent #5E6AD2","Foreground #EDEDEF, Muted #8A8F98, Accent Glow rgba(94 106 210/0.2), Border rgba(255 255 255/0.08), Surface rgba(255 255 255/0.05)","Expo.out Bezier(0.16,1,0.3,1) easing; spring modals (damping:20 stiffness:90); haptic-linked press (Impact Light/Medium); animated ambient light blobs (Reanimated translateX/Y slow oscillation); BlurView glassmorphism headers/nav (intensity 20); scale press 0.97 → 1.0; avoid pure #000000 (OLED smear)","Developer tools, pro productivity apps, fintech/trading dashboards, media/streaming platforms, AI tool interfaces, high-end gaming companion apps","Consumer apps needing warmth, children's apps, health/medical contexts where dark feels harsh, high-accessibility contexts needing maximum contrast",✓ Light mode only as exception,✓ Dark Mode Primary,⚠ Good (blur effects require native driver),⚠ WCAG AA (requires careful accent contrast check),✓ Mobile-First,High,Deep void background with localized warm spotlight pools illuminating content cards; frosted-glass navigation bar with live background blur; cinematic aspect-ratio hero imagery bleeding edge-to-edge; ambient light leaks in warm gold tinting card edges,Dark surface hierarchy with light text for depth; Layered depth through overlapping translucent surfaces; Restrained elegance with ample breathing room
69,SaaS Mobile (High-Tech Boutique),electric precision,Mobile,"saas, electric blue, gradient, fintech, spring animation, dual font, glassmorphism, boutique, premium, calistoga, inter, mono, tactile, haptic, bento","Electric Blue #0052FF, Gradient End #4D7CFF","Background #FAFAFA, Foreground #0F172A, Muted #F1F5F9, Card #FFFFFF, Border #E2E8F0",Spring animations (mass:1 damping:15 stiffness:120); gradient buttons (0052FF→4D7CFF); scale press 0.96→1.0 with haptics; floating FAB with gentle bobbing (Reanimated); glassmorphism BlurView navigation bars; staggered fade-in entrance (Y:20→0 + opacity:0→1); pulsing status dot on section badges; layout transitions (LayoutAnimation or Reanimated entering),"B2B SaaS mobile dashboards, fintech apps, developer tool mobile companions, marketing analytics apps, HR/operations apps, modern business productivity","Pure consumer entertainment, children's apps, highly decorative lifestyle apps, contexts where Electric Blue feels too corporate",✓ Full,◐ Partial,⚡ Excellent,✓ WCAG AA,✓ Mobile-First,Medium,saas; electric blue; gradient; fintech; Spring animations (mass:1 damping:15 stiffness:120); gradient buttons (0052FF→4D7CFF); scale press 0.96→1.0 with haptics; floating FAB with gentle bobbing (Reanimated); glassmorphism BlurView navigation bars; staggered fade-in entrance (Y:20→0 + opacity:0→1); pulsing status dot on section badges; layout transitions (LayoutAnimation or Reanimated entering),Layered depth through overlapping translucent surfaces; Futuristic visual layers with glow and depth effects; Restrained elegance with ample breathing room
70,Terminal CLI (Mobile),hacker terminal glow,Mobile,"terminal, cli, matrix green, monospace, hacker, ascii, command line, developer, web3, crypto, sci-fi, OLED, retro-future, field operative","Matrix Green #33FF00, OLED Black #050505","Amber #FFB000, Muted Green #1A3D1A, Error Red #FF3333, Border Green #33FF00","Blinking cursor (500ms opacity loop), typewriter text reveal hook, scanline overlay (repeating lines 0.05 opacity), ASCII art headers, instant color inversion on press (bg-green text-black), haptic on every keystroke, boot sequence splash on launch","Developer tools, Web3/blockchain apps, geek-culture apps, ARG games, sci-fi/noir gaming companions, hacker/security tools, creative studio portfolios","Consumer products, health apps, anything requiring approachability or warmth, children's apps, standard enterprise contexts",✗ No,✓ OLED Dark Only,⚡ Excellent,✓ High contrast (green on black ≫4.5:1 ratio),✓ Mobile-First (OLED optimized),Medium,Monospace green-on-black text rendering with cursor blink; command-prompt input field as primary interaction pattern; scrolling log-style content feed with timestamp prefixes; ASCII-art decorative elements and box-drawing character borders,Nostalgic visual patterns evoking a specific era; Futuristic visual layers with glow and depth effects
71,Kinetic Brutalism (Mobile),kinetic raw energy,Mobile,"kinetic, brutalism, motion, marquee, acid yellow, uppercase, oversized, aggressive typography, street, zine, high contrast, scroll-driven, haptic, reanimated","Acid Yellow #DFE104, Rich Black #09090B","Off-white #FAFAFA, Dark Gray #27272A, Zinc #A1A1AA, Border Zinc #3F3F46","Infinite marquee (Reanimated, Linear easing, 5s loop, hard clip), hero parallax (scale 1.0→1.3 + fade), sticky section header push, card flood inversion on press (bg→#DFE104, text→#000000), haptic Medium on every press, scroll-triggered interpolate transforms, 0px radius, 2px borders, 100ms color transitions","Immersive storytelling apps, brand flagship mobile, music/culture platforms, sports apps, underground zines, limited-edition product drops, performance dashboards","Calm informational apps, healthcare, finance contexts needing trust, children's, any context where aggressive typography feels inappropriate",✓ Dark Primary,◐ Dark only (inverted sections),⚡ Excellent (native driver required),⚠ WCAG AA (verify zinc body text on dark bg),✓ Mobile-First,High,Infinite horizontal marquee tickers as section dividers; thick black borders on all major interactive surfaces; intentional typographic collision with oversized headlines overlapping body; jarring color-block transitions without padding or gradients,Asymmetric balance to create visual tension
72,Flat Design Mobile (Touch-First),bold touch-first color,Mobile,"flat, 2D, no shadow, color blocking, geometric, bold, poster, icon, touch-first, minimal, clean, tailored, cross-platform","Blue #3B82F6, Emerald #10B981","Background #FFFFFF, Surface #F3F4F6, Text #111827, Amber #F59E0B, Border #E5E7EB","Immediate press feedback (scale 0.97, no delay), color section blocking (full-width contrasting View), zero elevation/shadow, solid icon containers (colored squares/circles), geometric low-opacity shape overlays, bottom tabs solid fill (no floating)","Cross-platform apps (iOS+Android parity), information-dense dashboards, system UI, brand illustration, onboarding flows, marketing pages, icon design","Ultra-premium contexts needing depth/shadow, dark-mode-first products, contexts where flat design reads as unfinished or sterile",✓ Full,◐ Partial (Dark mode via color swap only),⚡ Excellent (no GPU effects),✓ WCAG AA (large bold type helps),✓ Mobile-First,Low,flat; no shadow; color blocking; geometric; Immediate press feedback (scale 0.97,Grid-driven layout with consistent column rhythm; Generous negative space between content blocks; Asymmetric balance to create visual tension
73,Material You (MD3 Mobile),tonal surface harmony,Mobile,"material design 3, md3, tonal surfaces, pills, soft curves, android, md3 easing, state layers, haptic, fab, google","Primary Violet #6750A4, Secondary Container #E8DEF8, Tertiary #7D5260","Surface #FFFBFE, On Surface #1C1B1F, Surface Container #F3EDF7, Outline #79747E","Tonal elevation (overlay colors instead of strong shadows), pill-shaped buttons and chips (borderRadius 999), emphasized easing Easing.bezier(0.2,0,0,1), state layers (pressed overlays 10–15% opacity), Reanimated-filled label float for inputs, HapticFeedback on FAB/toggles","Android ecosystem apps, cross-platform productivity tools, MD3-based admin panels, data-heavy back-office UI with Material UI","Ultra-minimal brutalist brands, terminal/hacker aesthetics, monochrome editorial apps",✓ Full,✓ Full,⚠ Good (requires gradients and overlays),✓ WCAG AA (with MD3 token checks),✓ Mobile-First,Medium,material design 3; tonal surfaces; pills; soft curves; Tonal elevation (overlay colors instead of strong shadows),Tonal surface layering with container-within-container hierarchy; edge-to-edge content cards with generous internal padding; bottom navigation anchors spatial model; top app bar scrolls with content
74,Neo Brutalism (Mobile),sticker pop-art,Mobile,"neo brutalism, pop art, stickers, thick borders, cream background, hot red, vivid yellow, soft violet, hard offset shadow, mechanical press, collage","Cream #FFFDF5, Hot Red #FF6B6B, Vivid Yellow #FFD93D","Soft Violet #C4B5FD, Pure Black #000000, White #FFFFFF","Thick 4px black borders on all major elements, hard offset shadows (4–8px, no blur), mechanical press: translateX/Y equal to shadow offset, slightly rotated cards/badges (-2deg/2deg), high-saturation color blocking, spring/linear animations only","Creative tools, collab platforms, Gen Z marketing & e-commerce, portfolio sites, sticker-book style content apps","Serious enterprise apps, conservative industries, sober fintech, accessibility-first contexts (must tune contrast)",✓ Light-first,✗ Dark,⚠ Moderate (shadows + transforms),⚠ Requires careful contrast tuning,✓ Mobile-First,High,neo brutalism; pop art; stickers; thick borders; Thick black borders on all major elements,Asymmetric balance to create visual tension
75,Bold Typography (Mobile Poster),editorial confrontation,Mobile,"bold typography, editorial, poster, broadsheet, vermillion, negative space, edge-to-edge type, underline CTA, near-black, warm white","Near Black #0A0A0A, Warm White #FAFAFA","Muted #1A1A1A, Secondary Text #737373, Accent Vermillion #FF3D00, Border #262626","Hero headlines 48–72px (5:1 vs body size), tight tracking (-1.5px), edge-to-edge type, massive vertical spacing (60px+), underline CTAs (2–3px accent line), instant 200ms transitions (no bounce), strictly 0px radius containers, color shifts for active state instead of elevation","Creative brand heroes, reading-focused apps, event/exhibition pages, editorial mobile experiences, landing hero sections","Utility dashboards, kids apps, playful consumer products, contexts needing many icons or heavy imagery",✓ Dark Mode Primary,◐ Light sections optional,⚡ Excellent,✓ Contrast 18:1 achievable,✓ Mobile-First,Medium,bold typography; editorial; poster; broadsheet; Hero headlines with dramatic size contrast,Asymmetric balance to create visual tension; Typography-led sections with dramatic scale contrast
76,Academia (Scholarly Mobile),scholarly warmth,Mobile,"academia, library, mahogany, parchment, brass, crimson, serif, drop cap, arch-top, vignette, leather, scholarly, tactile","Mahogany #1C1714, Oak #251E19","Parchment #E8DFD4, Worn Leather #3D332B, Faded Ink #9C8B7A, Brass #C9A962, Library Crimson #8B2635","Deep mahogany backgrounds, oak surface cards, brass accented CTAs, arch-top hero/imagery, heavy vignette overlays, sepia-tinted images, drop caps with brass Cinzel, Roman numeral volume headings, slow timing-based animations (Easing.out poly(4)), zero neon or modern tech cues","Knowledge management apps, deep reading tools, ritual-heavy personal brands, lore-heavy RPG/roleplay apps, culture-specific community platforms","Hyper-modern tech dashboards, neon/glassmorphism, playful Gen Z branding",✓ Dark Rich,◐ Light parchment sections,⚠ Moderate (vignette + shadows),✓ Legible (serif optimized),◐ Mobile-First,High,Deep mahogany and aged-parchment surface palette evoking library interior; serif display headlines with wide letter-spacing in all-caps; decorative chapter-number numerals as section anchors; subtle paper-texture background with warm reading-lamp illumination,Typography-led sections with dramatic scale contrast
77,Cyberpunk Mobile HUD,neon void interface,Mobile,"cyberpunk, neon, glitch, chamfered, orbitron, jetbrains, scanlines, crt, hud, matrix, military, decker","Void #0A0A0F, Card #12121A","Neon Green #00FF88, Neon Magenta #FF00FF, Cyber Cyan #00D4FF, Neutral Text #E0E0E0, Alert Red #FF3366, Border #2A2A3A","Deep void background with neon radiance, chamfered 45° corners via SVG/Skia, scanline overlay, CRT flicker opacity oscillation, glitch animations (translateX ±2), neon pulses around buttons, HUD corner brackets, terminal prompt text inputs, heavy use of blurView holographic panels","Gaming dashboards, crypto/cyberpunk apps, sci-fi companion tools, hacker OS skins, data-heavy monitoring HUDs","Serious enterprise, health/finance requiring calm trust, minimal editorial apps",✗ Light,✓ Dark-only,⚠ Moderate–Heavy (Skia/blur/animations),⚠ Requires careful reduced-motion handling,✓ Mobile-First HUD,High,Deep void background with neon cyan and magenta radiance on UI edges; chamfered hexagonal corner cuts on card containers; data readout overlays with monospace type in scan-line texture; pulsing glow indicators on active/live status elements,Futuristic visual layers with glow and depth effects
78,Bitcoin DeFi (Mobile),digital gold gravity,Mobile,"web3, bitcoin, defi, digital gold, fintech, wallet, orange, glassmorphism, gradient, blur, holographic, trust, precision","Bitcoin Orange #F7931A, Burnt Orange #EA580C, Digital Gold #FFD600","Void #030304, Dark Matter #0F1115, Pure Light #FFFFFF, Stardust #94A3B8, Border Dim rgba(30,41,59,0.2)","Deep void + dark matter surfaces, Bitcoin orange/gold gradients for CTAs, pill buttons with glowing shadows, glassmorphic BlurView nav, monospace data rows, gradient text balances + masked orange-gold, pulsing status indicators and vertical ledger timelines, ultra-thin borders, high-precision typography","DeFi dashboards, wallets, NFT marketplaces, Web3 social, metaverse utilities, high-tech fintech brands","Playful casual apps, low-tech brands, ultra-minimal editorial apps",✗ Light,✓ Dark-only,⚠ Moderate (gradients+blur),✓ WCAG AA with care,✓ Mobile-First,High,Deep void background with dark-matter surface layering; digital-gold accent (#F7931A) reserved exclusively for primary CTAs and value displays; monospace numeric displays for crypto values with tabular figures; subtle grid-line background pattern evoking blockchain ledger structure,Layered depth through overlapping translucent surfaces; Futuristic visual layers with glow and depth effects; Color transitions as spatial navigational cues
79,Claymorphism (Mobile),candy clay bounce,Mobile,"claymorphism, clay, 3d, soft, bubbly, candy, playful, rounded, squish, tactile, inflate, silicone, haptic, spring","Vivid Violet #7C3AED, Hot Pink #DB2777","Canvas #F4F1FA, Soft Charcoal #332F3A, Emerald #10B981, Amber #F59E0B, Lavender-Gray #635F69","Multi-layer shadow stacks (nested View) to simulate clay depth, LinearGradient #A78BFA→#7C3AED buttons, borderRadius 40–50 outer / 32 cards / 20 buttons, Reanimated spring squish (scale 0.92 on press), BlurView glass-clay hybrid cards, floating blobs with slow ±20px drift, Haptics Light on every press","Children education apps, teen social products, crypto gamification, creative tools, brand mascot-led apps","Serious enterprise, high-density data, editorial reading apps, fintech trust signals",✓ Light,⚠ Dark (adjusted),⚠ Moderate–Heavy (shadows+blur),✓ WCAG AA (careful),✓ Mobile-First (thumb zone),High,claymorphism; clay; soft; bubbly; Multi-layer shadow stacks (nested View) to simulate clay depth,Dynamic content blocks with varied sizes and color accents; Spatial depth through perspective and layering
80,Enterprise SaaS (Mobile),indigo trust gradient,Mobile,"enterprise, saas, b2b, professional, indigo, violet, polished, trustworthy, approachable, workflow, management, productivity, b2b-tools, career, resume, finance, government","Indigo #4F46E5, Violet #7C3AED","Slate 50 #F8FAFC, White #FFFFFF, Slate 900 #0F172A, Slate 500 #64748B, Emerald #10B981, Slate 200 #E2E8F0","Indigo→Violet primary CTAs + active tab highlights, colored card shadows rgba(79,70,229,0.08), pill buttons or 12pt radius, full-width CTA at screen bottom, spring press scale 0.97, floating label inputs with animated focus border, skeletal loading pulses (Indigo/Slate tint), Bottom Sheets with drag dismiss, swipe-to-action list cards, scroll-linked title collapse","B2B backend management, productivity tools, government and finance mobile apps, SaaS companion apps, enterprise dashboards","Pure consumer entertainment, Gen-Z youth apps, gaming UI, ultra-minimal editorial",✓ Light,✓ Dark-ready (token inversion),✓ Performant,✓ WCAG AA,✓ Mobile-First (Safe Area strict),High,enterprise; saas; professional; indigo; Indigo→Violet primary CTAs + active tab highlights,Generous negative space between content blocks; Color transitions as spatial navigational cues
81,Sketch Hand-Drawn (Mobile),wobbly handcraft charm,Mobile,"sketch, hand-drawn, handwriting, wobbly, imperfect, paper, kalam, organic, collage, post-it, tape, offset shadow, scribble","Red Marker #FF4D4D, Pencil Black #2D2D2D","Warm Paper #FDFBF7, Old Paper #E5E0D8, Blue Ballpoint #2D5DA1, Post-it Yellow #FFF9C4","Wobbly borderRadius (unique per corner: 15/25/20/10), borderWidth 2–3 solid/dashed, hard offset shadow via rear View (4px,4px) #2D2D2D, Kalam Bold headings, PatrickHand Regular body, slight rotation (-1deg/1deg) on cards, absolute SVG scribble overlays (arrows/tape/tacks), jiggle -2deg↔2deg on error, LayoutAnimation spring on layout changes, Haptics on press, paper texture repeating background","Low-fidelity prototyping, creative brands, children/picturebook apps, education tools, journaling apps, gamified puzzles","Enterprise dashboards, high-density data tables, fintech precision tools, medical or legal apps",✓ Light,⚠ Dark (requires texture inversion),✓ Lightweight,⚠ Moderate (small/muted text risk),✓ Mobile-First (wobbly touch targets 48x48),Medium,sketch; hand-drawn; handwriting; wobbly; Wobbly borderRadius (unique per corner: 15/25/20/10),Organic shapes softening rigid rectangular containers
82,Neumorphism (Mobile),extruded soft surface,Mobile,"neumorphism, soft ui, dual shadow, extruded, inset, clay surface, monochromatic, cool grey, haptic, ceramic, physical, depth","Accent Violet #6C63FF, Clay Base #E0E5EC","Text Dark #3D4852, Text Muted #6B7280, Shadow Light rgba(255,255,255,0.6), Shadow Dark rgba(163,177,198,0.7), Inset Background #D1D9E6","Full-screen #E0E5EC base, dual-layer shadow via nested View (light top-left + dark bottom-right), extruded convex resting state, inset concave pressed/input state, Reanimated scale 0.97 on press, shadow opacity interpolates 1→0.4 on press, Haptics Light on every interaction, 8pt grid, no blur shadows (no shadowRadius blend), nested depth (extruded card contains inset icon slot)","Minimal hardware controls, smart home apps, aesthetic utility tools, health monitors, brand showcase pages","High-density data, bright multi-color apps, apps needing strong visual hierarchy via color, dark-mode-only products",✓ Light-only,✗ Dark (breaks material metaphor),✓ Lightweight,⚠ Moderate (low-contrast risk),✓ Mobile-First,Medium,Full-screen soft-gray (#E0E5EC) base with dual inner/outer shadows on all elements; pressed-in input fields vs extruded-out buttons creating physical toggle logic; monochromatic palette with single accent color for active states; uniform moderate rounding (12-16px) across all interactive surfaces,Layered depth through overlapping translucent surfaces
83,Chinese Ink / Eastern Aesthetic,ink-wash contemplation,General,"chinese ink, ink wash, calligraphy, sumi-e, rice paper, vermilion seal stamp, wabi-sabi, guochao, shuimo","Ink Black, Rice Paper White, Vermilion Red accent","Stone Grey, Ochre Earth, Celadon Green, Fog White","Slow parallax ink-wash background drift, scroll-triggered section fade-in with upward float, hover ink-bleed spread on buttons, staggered content reveal 400-600ms ease-in-out for unhurried cultural tempo","Traditional craft brands, tea culture, cultural heritage showcases, artisan portfolios, oriental luxury, calligraphy studios, museum collections","SaaS dashboards, gaming, tech startups, children apps, fast-paced e-commerce",✓ Light (primary),✗ Not recommended,✓ Lightweight,✓ High contrast (ink on white),⚠ Adapt vertical text for mobile,Medium,"Ink-wash mountain mist background with depth layering; vermilion dot accents at section anchors; vertical calligraphy headings mixed with horizontal body; generous breathing whitespace evoking scroll painting; soft diffused top-light with warm lustre highlights on craft object photography; contact shadows only, no hard drop-shadows",Full-width immersive sections with asymmetric image-text interleave; centered hero with large negative space; four-column symmetric grid for product display; generous vertical rhythm between sections echoing scroll-painting pacing
84,Glassmorphism SaaS (Light Web),frosted translucent layers,General,"glassmorphism, frosted glass, saas, dashboard, translucent, blur, semi-transparent, fintech, financial, light mode, soft gradient, airy, card depth, modern, trust, professional","Frosted White rgba(255,255,255,0.6-0.8), Lavender Background #EAF0F8, Accent Gradient #6B73FF to #3842FF","Soft Blue #B8C9E8, Pure Black #111111 for CTA, Muted Text #64748B, Card border rgba(255,255,255,0.3)",Background gradient halo slow breathing drift 8-10s cycle; card hover shadow expansion with subtle Y-lift; staggered card entrance fade-up 250-400ms ease-out; chart data grow-in from baseline; button press scale-down with glow ripple; backdrop-filter blur on card surfaces,"SaaS dashboards, fintech platforms, financial tools, analytics dashboards, B2B platforms, modern enterprise","Low-performance targets, critical accessibility, text-heavy documentation, children apps",✓ Full,◐ Partial,⚠ Good (blur effects),⚠ Ensure 4.5:1 on translucent,✓ Good,Medium,Frosted translucent card layers over soft-gradient color backdrop; multi-layer blur intensity creating z-depth; pure black capsule CTAs as visual anchor against airy cards; subtle inner highlight edge on card borders; accent gradient orb as floating visual focal point,Layered depth through overlapping translucent surfaces; Left navigation + right dual-column content area; Generous negative space between content blocks
85,Dark Cinematic SaaS,spotlight in void,General,"dark, cinematic, saas, dashboard, spotlight, amber, gold, premium, film grain, deep black, warm accent, inner glow border, frosted dark glass, productivity, focus","Void Black #111111, Card Dark #1A1C23, Amber Gold #F5B041","Cool Steel #7888A0, Border Glow rgba(255,255,255,0.06), Surface #0F1115, Muted #94A3B8",Localized spotlight gradient from card interior; card hover inner glow brightness increase with gentle scale-up; staggered left-to-right data entrance 50ms interval; background halo slow 8-10s breathing cycle; timeline capsule hover border highlight; button press warm glow ripple outward,"Productivity dashboards, fintech/trading, pro tools, media platforms, AI tool interfaces, high-end SaaS, portfolio analytics","Children apps, consumer apps needing warmth, health/medical, high-accessibility contexts",◐ Partial,✓ Dark Primary,⚠ Good (gradient + blur),⚠ WCAG AA with care,✓ Good,High,Deep void background with localized warm spotlight accents; 1px semi-transparent inner-glow borders on dark frosted cards; extreme cold-warm color temperature contrast; cinematic photography integrated into card surfaces; matte dark glass texture with no reflections,Dark surface hierarchy with light text for depth; Top navigation + center three-column data card grid; Restrained elegance with ample breathing room
86,SaaS Soft Glass,frosted workflow elegance,General,"soft ui, glass, saas, crm, workflow, friendly, rounded, neumorphism light, translucent, warm corporate, approachable, soft shadow, frosted base, modern business","Cool Grey Gradient #E8EDF2 to #DCE3EE, Card White #FFFFFF, CTA Black #111111","Soft Blue #7298DA, Soft Red #E87A7A, Muted #94A3B8, Border rgba(255,255,255,0.5)",Background slow cool-warm gradient breathing; card hover shadow expansion with Y-lift -2px; workflow node connection lines with particle flow highlight; staggered node entrance 50ms spring easing; button press scale-down bounce; chart spring grow-in on load,"CRM platforms, SaaS workflow tools, project management, collaboration apps, HR/operations, modern B2B","Gaming, high-energy marketing, children apps, dark-mode-first products",✓ Full,◐ Partial,⚡ Excellent,✓ WCAG AA,✓ Good,Medium,Cool grey-blue gradient backdrop with frosted glass base plate; ultra-large border radius containers (24-32px); multi-layer low-opacity diffuse shadows for warm depth; inner glow simulating soft material surface; pure black capsule buttons as high-contrast anchors,Layered depth through overlapping translucent surfaces; Grid-driven layout with consistent column rhythm; Center-aligned hero with single primary focal point
87,Glassmorphism Light (Mobile),mobile frosted glass,Mobile,"glassmorphism, mobile, frosted glass, light, translucent, blur, warm gradient, health, wellness, medical, insurance, soft, airy, card depth, touch","Warm White #FFF8F5, Frosted Card rgba(255,255,255,0.7), Coral Gradient #FF6B6B to #FF8E53","Soft Pink #FFE4E0, Deep Grey #1A1A2E, Muted #8B8FA3, Border rgba(255,255,255,0.4)",BlurView frosted card surfaces intensity 15-20; spring card press scale 0.96 with shadow collapse; staggered bottom-up card entrance 300ms ease-out 60ms interval; gradient accent slow color-shift 6s loop; haptic feedback on primary actions; tab switch crossfade with gentle spring,"Health/wellness apps, medical apps, insurance apps, lifestyle apps, fintech mobile, premium consumer apps","Performance-limited devices, data-heavy tables, children apps, offline-first apps",✓ Light Primary,◐ Partial,⚠ Good (blur requires native driver),⚠ Moderate (translucent contrast),✓ Mobile-First,Medium,glassmorphism; frosted glass; light; translucent; BlurView frosted card surfaces on warm gradient background; warm coral/peach accent gradient for CTAs; deep dark capsule buttons as contrast anchor; multi-layer translucency creating depth,Layered depth through overlapping translucent surfaces; Dynamic content blocks with varied sizes and color accents
88,Editorial Dark Luxury (Mobile),dark luxury editorial,Mobile,"dark, luxury, editorial, mobile, premium, photography, warm black, gold, interior, architecture, magazine, cinematic, sophisticated, high-end, curated","Warm Black #1A1614, Deep Espresso #0D0B09, Cream White #F5F0E8","Antique Gold #C9A962, Stone Grey #8A7E72, Parchment #E8DFD4, Border rgba(255,255,255,0.08)",Full-bleed photography with dark overlay gradient; card hover gentle scale-up with shadow warmth; scroll-triggered section reveal with slow fade-up 500ms ease-out; parallax product image drift on scroll; text reveal letter-by-letter stagger for headings; haptic light on navigation,"Interior design, luxury real estate, high-end fashion, art gallery, fine dining, premium brand, architecture","Children apps, playful consumer, budget brands, high-density data, accessibility-critical",◐ Partial (cream sections),✓ Dark Primary,⚡ Excellent,⚠ Moderate (low contrast text risk),✓ Mobile-First,Medium,dark; luxury; editorial; warm black; Full-bleed curated photography dominating visual space; warm black base with cream/parchment text; antique gold accent sparingly on CTAs; editorial serif headings at dramatic scale,Typography-led sections with dramatic scale contrast; Dark surface hierarchy with light text for depth; Restrained elegance with ample breathing room
89,Pastel Wellness (Mobile),gentle pastel calm,Mobile,"pastel, wellness, health, fitness, calm, soft, rounded, gentle, tracker, meditation, mindfulness, baby, care, friendly, approachable, warm, organic","Soft Lavender #E8E0F0, Gentle Mint #D4F0E7, Warm Peach #FFE8D6","Deep Indigo #4338CA for CTA, Soft Rose #F9C4D2, Text Dark #1E1B4B, Muted #94A3B8",Gentle spring bounce on card press scale 0.97; progress ring smooth arc animation on load; staggered list fade-up entrance 200ms ease-out 50ms interval; pastel gradient background slow drift 10s loop; haptic light on toggles and completions; chart bars grow from bottom with spring easing,"Health tracking, meditation apps, baby/parenting, wellness platforms, period trackers, habit trackers, therapy apps, gentle consumer products","Enterprise dashboards, gaming, fintech/crypto, high-energy marketing, dark-mode-first",✓ Light Primary,◐ Partial (muted dark),⚡ Excellent,✓ WCAG AA (with deep CTA),✓ Mobile-First,Low,pastel; wellness; soft; rounded; gentle; Monochromatic pastel base with single deep-tone CTA anchor; extra-large border radius (20-28px) on all surfaces; soft diffuse shadows with zero hard edges; breathing whitespace between content blocks,Center-aligned hero with single primary focal point; Generous negative space between content blocks; Dynamic content blocks with varied sizes and color accents
90,Dark Editorial,void with electric accent,General,"dark editorial, electric blue, oversized serif, cinematic, creative agency, AI tool, magazine dark, premium landing, asymmetric, photography, bold typography, luxury dark, interior design, architecture, spotlight, high contrast","Void Black #0A0A0A, Electric Blue #1A4BFF or Warm Espresso #1A1614","Cream White #F5F0E8, Muted Grey #8A8A8A, Antique Gold #C9A962, Border rgba(255,255,255,0.08)",Scroll-triggered section reveal with cinematic fade-up 500ms ease-out; oversized serif headline letter-stagger entrance; full-bleed photography parallax drift on scroll; color block sections slide in from alternating sides; hover image zoom within masked container; cursor-following spotlight glow on dark sections,"Creative agencies, AI tool landing pages, architecture firms, interior design, luxury brands, portfolio sites, premium SaaS landing, film/media","Children apps, e-commerce catalogs, dashboards, government/accessibility, healthcare",◐ Partial (alternating sections),✓ Dark Primary,⚡ Excellent,⚠ Moderate (contrast on dark sections),✓ Good (stack to single column),Medium,Deep void background with electric blue or warm gold color-block sections; oversized display serif headlines at 10-15vw scale; full-bleed editorial photography breaking grid; alternating dark/light section rhythm creating dramatic pacing; minimal UI chrome — content and typography carry the design,Asymmetric balance to create visual tension; Typography-led sections with dramatic scale contrast; Dark surface hierarchy with light text for depth
91,Warm Organic Craft,artisan warmth,General,"warm organic, craft, artisan, natural, food, cafe, cream, earthy, serif, bakery, restaurant, wellness, photography editorial, terracotta, olive, linen, handmade, sustainable, farm, rustic modern","Warm Cream #F5F0E6, Rich Espresso #2C1810, Terracotta #C17B56","Olive Green #6B7C4E, Stone Grey #9A9087, Linen White #FAF7F2, Deep Brown #3D2B1F",Slow scroll parallax on food/nature photography; section reveal with gentle upward float 400ms ease-out; hover image warm-tone shift with subtle scale-up; text entrance fade-in with 100ms stagger; warm grain texture overlay at very low opacity; smooth anchor scroll between sections,"Restaurants, cafes, bakeries, organic food brands, wellness/spa, craft brands, sustainable products, farm-to-table, artisan portfolios, boutique hotels","Tech/SaaS, gaming, fintech, cyberpunk, data-heavy dashboards, children apps",✓ Light Primary (warm white),◐ Dark espresso sections,⚡ Excellent,✓ WCAG AA (high contrast serif on cream),✓ Good,Low,Warm cream/linen base with espresso text; subtle grain or paper texture evoking handcraft; editorial serif headings paired with clean sans body; full-bleed warm-toned photography as visual anchors; organic rounded shapes softening rigid containers; terracotta or olive accent sparingly on CTAs,Grid-driven layout with consistent column rhythm; Generous negative space between content blocks; Center-aligned hero with single primary focal point
