No,Product Type,Primary,On Primary,Secondary,On Secondary,Accent,On Accent,Background,Foreground,Card,Card Foreground,Muted,Muted Foreground,Border,Destructive,On Destructive,Ring,Keywords,Notes
181,Gaming,#0070CC,#FFFFFF,#1900D5,#FFFFFF,#D53B00,#FFFFFF,#FFFFFF,#000000,#FFFFFF,#000000,#FFFFFF,#64748B,#F3F3F3,#DC2626,#FFFFFF,#0070CC,arcade entertainment fun game play puzzle,Brand-inspired (playstation)
182,Productivity Tool,#5E6AD2,#FFFFFF,#7A7FAD,#FFFFFF,#7A7FAD,#000000,#010102,#F7F8F8,#FFFFFF,#F7F8F8,#2A2D30,#64748B,#3D4049,#DC2626,#FFFFFF,#5E6AD2,efficiency organize task tool work,Brand-inspired (linear.app)
183,AI/Chatbot Platform,#11823B,#FFFFFF,#16A34A,#FFFFFF,#7C3AED,#FFFFFF,#F5F5F5,#0C0A09,#FFFFFF,#0C0A09,#FFFFFF,#64748B,#E7E5E4,#DC2626,#FFFFFF,#16A34A,ai assistant bot conversation virtual,Green primary + AI purple
184,Banking/Traditional Finance,#428615,#000000,#9FE870,#FFFFFF,#293F73,#FFFFFF,#FFFFFF,#0E0F0C,#FFFFFF,#0E0F0C,#E8EBE6,#64748B,#E1E1E1,#DC2626,#FFFFFF,#9FE870,bank banking finance financial fintech money,Brand-inspired (wise)
185,Magazine/Blog,#008767,#000000,#0093FF,#000000,#5200FF,#FFFFFF,#FFFFFF,#131313,#FFFFFF,#131313,#E9E9E9,#64748B,#FFFFFF,#DC2626,#FFFFFF,#3CFFD0,blog content editorial magazine media publication writing,Brand-inspired (theverge)
186,Fashion E-commerce,#CB3F00,#FFFFFF,#FF7A45,#FFFFFF,#FFB800,#452C00,#F5F5F5,#333333,#FFFFFF,#333333,#F0F0F0,#999999,#E8E8E8,#DC2626,#FFFFFF,#FF5000,apparel boutique clothing outfit style wardrobe,Fashion e-commerce — taobao-style orange + golden promotion accent
187,Clothing Brand / Boutique,#59443E,#FFFFFF,#57534E,#FFFFFF,#B45309,#FFFFFF,#FAFAF9,#1C1917,#FFFFFF,#292524,#F5F5F4,#78716C,#E7E5E4,#DC2626,#FFFFFF,#59443E,apparel boutique fashion outfit style wardrobe,Clothing boutique — editorial dark + warm gold fashion accent
188,Fashion E-commerce / Retail,#E22C2F,#FFFFFF,#C41C1F,#FFFFFF,#F59E0B,#451A03,#FFFFFF,#262626,#FFFFFF,#262626,#F7F7F7,#8C8C8C,#E5E5E5,#DC2626,#FFFFFF,#E22C2F,apparel boutique buy clothing ecommerce mall outfit shop shopping store style wardrobe,Fashion retail — red professional e-commerce clothing
189,Educational App,#3A8701,#FFFFFF,#49AD00,#0F172A,#1CB0F6,#0F172A,#FFFFFF,#1A2B0A,#FFFFFF,#1A2B0A,#F0F4E8,#64748B,#DDE8CC,#DC2626,#FFFFFF,#58CC02,classroom course education learning school student teach tutor,Brand-inspired (duolingo)
190,E-commerce Luxury,#125059,#FFFFFF,#0A1A1C,#FFFFFF,#36F4A4,#0F172A,#000000,#FFFFFF,#1E1E1E,#FFFFFF,#1A2A24,#8A9B94,#1E3932,#DC2626,#FFFFFF,#125059,boutique exclusive high-end luxury premium shop showcase,Brand-inspired (shopify)
191,E-commerce Luxury,#3E4759,#FFFFFF,#39393B,#FFFFFF,#D94E17,#000000,#FFFFFF,#111111,#FFFFFF,#111111,#F5F5F5,#6B6B6B,#E5E5E5,#DC2626,#FFFFFF,#3E4759,athletic brand flagship minimal sport streetwear,Brand-inspired (nike)
192,SaaS (General),#E32D00,#FFFFFF,#E0603F,#0F172A,#0091AE,#0F172A,#FFFFFF,#2D3748,#FFFFFF,#2D3748,#F5F7FA,#64748B,#E2E8F0,#DC2626,#FFFFFF,#FF7A59,crm growth inbound marketing pipeline sales,Brand-inspired (hubspot)
193,Remote Work/Collaboration Tool,#5865F2,#FFFFFF,#4752C4,#FFFFFF,#57F287,#0F172A,#313338,#FFFFFF,#1E1E1E,#FFFFFF,#2B2D31,#96989D,#1E1F22,#DC2626,#FFFFFF,#5865F2,chat community gaming group server social voice,Brand-inspired (discord)
194,Ride Hailing / Transportation,#3E4759,#FFFFFF,#1A1A1A,#FFFFFF,#1B8A5A,#000000,#FFFFFF,#000000,#FFFFFF,#000000,#F3F3F3,#757575,#E2E2E2,#DC2626,#FFFFFF,#3E4759,car commute drive mobility ride taxi transport trip,Brand-inspired (uber)
195,Banking/Traditional Finance,#003087,#FFFFFF,#002070,#FFFFFF,#FFD140,#0F172A,#FFFFFF,#003087,#FFFFFF,#1A1A2E,#F5F7FA,#6B7280,#E5E7EB,#DC2626,#FFFFFF,#003087,checkout money pay send transfer wallet,Brand-inspired (paypal)
196,Banking/Traditional Finance,#00C805,#0F172A,#00A604,#0F172A,#FF5000,#0F172A,#000000,#FFFFFF,#1E1E1E,#FFFFFF,#1A1A1A,#8A8A8A,#333333,#DC2626,#FFFFFF,#00C805,invest portfolio stock trade watchlist,Brand-inspired (robinhood)
197,Banking/Traditional Finance,#4D8400,#FFFFFF,#A8F040,#0F172A,#0369A1,#FFFFFF,#FFFFFF,#0D0D0D,#FFFFFF,#0D0D0D,#F5F5F5,#6B7280,#E5E5E5,#DC2626,#FFFFFF,#B5FF4D,card corporate expense reimbursement savings spend,Brand-inspired (ramp)
198,Banking/Traditional Finance,#00D64F,#0F172A,#00BF46,#0F172A,#00D64F,#0F172A,#000000,#FFFFFF,#1E1E1E,#FFFFFF,#1A1A1A,#8A8A8A,#242424,#DC2626,#FFFFFF,#00D64F,boost cash p2p payment send transfer,Brand-inspired (cashapp)
199,Magazine/Blog,#FFBB00,#0F172A,#E8A800,#0F172A,#1E40AF,#FFFFFF,#000000,#FFFFFF,#1E1E1E,#FFFFFF,#1A1A1A,#8A8A8A,#333333,#DC2626,#FFFFFF,#FFBB00,creator growth monetize newsletter publish subscriber,Brand-inspired (beehiiv)
200,Magazine/Blog,#AE6500,#FFFFFF,#E88200,#0F172A,#6D28D9,#FFFFFF,#FFFFFF,#15171A,#FFFFFF,#15171A,#F5F5F5,#738A94,#E5E7EB,#DC2626,#FFFFFF,#FF9400,blog cms ghost independent journal publishing writing,Brand-inspired (ghost)
201,Dashboard,#774AA4,#FFFFFF,#6A3E92,#FFFFFF,#8B45D6,#FFFFFF,#282828,#E0E0E0,#1E1E1E,#E0E0E0,#333333,#8E8E8E,#3D3D3D,#DC2626,#FFFFFF,#774AA4,apm infrastructure metrics monitoring observability trace,Brand-inspired (datadog)
202,Dashboard,#F46800,#0F172A,#DC5C00,#0F172A,#3D71D9,#FFFFFF,#181B1F,#D9D9D9,#1E1E1E,#D9D9D9,#242629,#8E8E8E,#34373B,#DC2626,#FFFFFF,#F46800,alert dashboard grafana logs metrics panel visualization,Brand-inspired (grafana)
203,Design System/Component Library,#7B2FBE,#FFFFFF,#6B28A6,#FFFFFF,#00C4CC,#0F172A,#FFFFFF,#0D1216,#FFFFFF,#0D1216,#F5F0FF,#7B7B8B,#E5D9F2,#DC2626,#FFFFFF,#7B2FBE,canvas creative design edit template visual,Brand-inspired (canva)
204,AI/Chatbot Platform,#0D8669,#FFFFFF,#0E9270,#0F172A,#10A37F,#0F172A,#FFFFFF,#212121,#FFFFFF,#212121,#F7F7F8,#6E6E80,#E5E5E5,#DC2626,#FFFFFF,#10A37F,ai chat completion gpt model prompt,Brand-inspired (openai)
205,AI/Chatbot Platform,#BF512C,#FFFFFF,#A8421F,#FFFFFF,#C2522D,#FFFFFF,#FAF9F5,#1A1A18,#FFFFFF,#1A1A18,#F2F0EC,#6B6B63,#D8D4CC,#DC2626,#FFFFFF,#C2522D,ai alignment assistant constitutional safety,Brand-inspired (anthropic)
206,Automotive/Car Dealership,#3E6AE1,#FFFFFF,#2E56C4,#FFFFFF,#3E6AE1,#FFFFFF,#FFFFFF,#171A20,#FFFFFF,#171A20,#F4F4F4,#5C5E62,#E5E5E5,#DC2626,#FFFFFF,#3E6AE1,auto electric ev luxury motor showroom vehicle,Brand-inspired (tesla)
207,Productivity Tool,#5645D4,#FFFFFF,#3A2A99,#FFFFFF,#E16259,#0F172A,#FFFFFF,#0A1530,#FFFFFF,#0A1530,#F7F6F3,#91918E,#E3E2DE,#DC2626,#FFFFFF,#5645D4,database docs notes wiki workspace,Brand-inspired (notion)
208,SaaS (General),#E4F222,#0F172A,#C8D91E,#0F172A,#5E6AD2,#FFFFFF,#08090A,#F7F8F8,#161718,#F7F8F8,#23252A,#8A8F98,#323334,#EB5757,#FFFFFF,#E4F222,app b2b cloud dark night saas software tool,Midnight command center — neon lime on obsidian (Linear-inspired dark)
209,Developer Tool / IDE,#A78BFA,#0F172A,#8655F6,#FFFFFF,#22D3EE,#0F172A,#0D0E11,#E2E8F0,#1A1B1F,#E2E8F0,#252629,#71717A,#3A3A3F,#EF4444,#FFFFFF,#A78BFA,cli code dark dev devtool editor ide terminal,Synthwave dark lab — violet + cyan neon on charcoal
210,Restaurant/Food Service,#D49653,#0F172A,#C08440,#0F172A,#EFA680,#0F172A,#140B00,#FFF1E0,#1E1409,#FFF1E0,#2A1F12,#A69478,#43392D,#DC2626,#FFFFFF,#D49653,bistro cuisine dark dining food gourmet restaurant upscale,Midnight desert oasis — warm gold on deep umber
211,Analytics Dashboard,#9984D8,#0F172A,#7B6BC0,#FFFFFF,#22C55E,#0F172A,#0A0A0F,#E8E8EC,#141418,#E8E8EC,#1E1E24,#71717A,#2E2E36,#EF4444,#FFFFFF,#9984D8,admin analytics bi dark dashboard data panel visualization,Midnight data studio — lavender metrics on deep void
212,Fintech/Crypto,#00D68F,#0F172A,#00B377,#0F172A,#FF6B35,#0F172A,#012624,#E0F2EF,#03332F,#E0F2EF,#064A44,#7BA8A0,#0A5C54,#EF4444,#FFFFFF,#00D68F,blockchain crypto dark defi finance fintech trading wallet,Deep-sea radiant data — emerald glow on ocean floor
213,AI/Chatbot Platform,#D97757,#0F172A,#C16545,#FFFFFF,#788C5D,#0F172A,#141413,#FAF9F5,#1E1E1D,#FAF9F5,#2A2A28,#87867F,#3D3D3A,#DC2626,#FFFFFF,#D97757,ai assistant chatbot dark llm model research safety,Research journal on warm stone — terracotta on dark parchment
214,Productivity Tool,#C7E3FF,#000000,#E5E5E5,#000000,#3B82F6,#0F172A,#000000,#EEEEEE,#141414,#EEEEEE,#1E1E1E,#888888,#2A2A2A,#EF4444,#FFFFFF,#C7E3FF,collaboration dark notes productivity tool workspace,Matte black precision instrument — monochrome control surface
215,Creative Agency,#FF4105,#0F172A,#E53A04,#FFFFFF,#FFD60A,#0F172A,#0D1117,#E6EDF3,#161B22,#E6EDF3,#21262D,#7D8590,#30363D,#DA3633,#FFFFFF,#FF4105,agency brand creative dark design portfolio studio,Electric storm over a blueprint — vivid neon on deep navy
216,SaaS (General),#59593E,#FFFFFF,#3D3D3A,#FFFFFF,#C2522D,#FFFFFF,#FAF9F5,#141413,#FFFFFF,#141413,#F2F0EC,#6B6B63,#D8D4CC,#DC2626,#FFFFFF,#59593E,academic editorial research saas tool warm,Academic journal on vellum — warm stone editorial
217,Educational App,#3A8701,#FFFFFF,#4AAD00,#0F172A,#FF9600,#0F172A,#FFFFFF,#3C3C3C,#FFFFFF,#3C3C3C,#E5E5E5,#777777,#E5E5E5,#FF4B4B,#FFFFFF,#58CC02,app education fun gamified language learning playful,Playground starter kit — bold gamified green + orange rewards
218,Payments / Checkout,#533AFD,#FFFFFF,#4529E0,#FFFFFF,#FF6118,#0F172A,#FFFFFF,#061B31,#F8FAFD,#061B31,#E5EDF5,#50617A,#D8D6DF,#DC2626,#FFFFFF,#533AFD,checkout fintech gateway payment processing stripe,Architectural blueprint on white marble — violet precision
219,Design System/Component Library,#E80000,#FFFFFF,#E55A5A,#FFFFFF,#4ECDC4,#0F172A,#FFF8F6,#2D3436,#FFFFFF,#2D3436,#F5EFED,#6B7280,#F0E0DB,#DC2626,#FFFFFF,#FF6B6B,canvas component creative design tool ui-kit visual,Vibrant pink playground — coral dance on warm blush canvas
220,Magazine/Blog,#3E4759,#FFFFFF,#333333,#FFFFFF,#B91C1C,#FFFFFF,#FFFFFF,#111111,#F9F9F9,#111111,#F3F3F3,#757575,#E8E8E8,#DC2626,#FFFFFF,#3E4759,article blog editorial literary magazine medium publishing,Digital ink on vellum — monochrome typographic authority
221,Healthcare App,#00543D,#FFFFFF,#004432,#FFFFFF,#D97706,#0F172A,#FBFDF6,#0A1D08,#FFFFFF,#0A1D08,#F0F4EA,#5C6B55,#D9E3D0,#DC2626,#FFFFFF,#00543D,calm clinical health medical patient wellness,Mist-shrouded valley — deep forest green on meadow white
222,Food Delivery / On-Demand,#B63A00,#FFFFFF,#E04800,#FFFFFF,#524AE9,#FFFFFF,#E2E2DF,#070607,#EFEEEB,#070607,#D5D4D0,#6B6B68,#C8C7C3,#DC2626,#FFFFFF,#FC5000,delivery food on-demand order quick takeout,Pixelated cyber-playground — vivid orange on warm concrete
223,Calendar & Scheduling App,#8A7500,#FFFFFF,#E8C400,#0F172A,#1A67FD,#FFFFFF,#FFFEFB,#1D2130,#FFFFFF,#1D2130,#F5F3ED,#6B7280,#E5E3DC,#DC2626,#FFFFFF,#FFD801,calendar events planner schedule scheduling sunny warm,Sunlit productivity canvas — bright yellow on warm cream
224,Membership/Community,#DC371A,#FFFFFF,#E8C0B8,#0F172A,#F7D046,#0F172A,#FFFEFB,#222222,#FFFFFF,#222222,#F5F0ED,#777777,#E8E0DB,#DC2626,#FFFFFF,#F5B7AC,club community forum member social support warm,Warm buoyant community canvas — peach + gold on cream
225,Portfolio/Personal,#E7D2B4,#0F172A,#D5CCB8,#0F172A,#E7DED1,#0F172A,#000000,#E7DED1,#0A0A0A,#E7DED1,#151515,#6B6560,#252220,#DC2626,#FFFFFF,#E7D2B4,creative dark gallery portfolio projects showcase,Black canvas stark typography — ghost sand on midnight void
226,Meditation & Mindfulness,#5764FE,#FFFFFF,#8B92E8,#0F172A,#F6A6A6,#0F172A,#FFFFFF,#2D2D2D,#FAFAFE,#2D2D2D,#F0F0F8,#8888AA,#E8E8F0,#DC2626,#FFFFFF,#9FA6FF,breathe calm meditation mindful relax serenity soft wellness,Ethereal lavender mist — periwinkle + blush on pure white
227,Real Estate/Property,#8B6914,#FFFFFF,#725510,#FFFFFF,#1A5632,#FFFFFF,#FAF5F2,#2D2520,#FFFFFF,#2D2520,#F0EAE5,#8B7D70,#E0D6CD,#DC2626,#FFFFFF,#8B6914,estate home housing land luxury property real,Warm sandstone gallery — burnished gold + forest on linen
228,Survey / Form Builder,#4F46E5,#FFFFFF,#818CF8,#FFFFFF,#F59E0B,#0F172A,#FAFBFF,#1E1B4B,#FFFFFF,#1E1B4B,#EEF0FA,#6B7280,#E0E2F0,#DC2626,#FFFFFF,#6164F1,feedback form poll questionnaire quiz response survey typeform,Calm indigo focus — warm amber progress bar on cool lavender canvas
229,Survey / Form Builder,#B45309,#FFFFFF,#92400E,#FFFFFF,#047857,#FFFFFF,#FFFBF5,#292524,#FFFFFF,#292524,#F5F0E8,#78716C,#E7E0D5,#DC2626,#FFFFFF,#D97706,caring cozy emotional feedback friendly lifestyle warm,Warm honey questionnaire — amber + sage on cream
230,Traditional Craft / Cultural Brand,#8B2500,#FFFFFF,#6B1D00,#FFFFFF,#C19A49,#0F172A,#FDF8F0,#2C1810,#FFFDF8,#2C1810,#F5EDE0,#7C6B5A,#E8DCC8,#DC2626,#FFFFFF,#8B2500,artisan calligraphy chinese craft cultural festival heritage ink oriental traditional,Vermilion seal on rice paper — classical red + muted gold on warm ivory
231,Traditional Craft / Cultural Brand,#CC0000,#FFFFFF,#A00000,#FFFFFF,#D4A017,#0F172A,#FFF5F5,#1A0505,#FFFAFA,#1A0505,#F5E8E8,#8B6B6B,#E8D0D0,#DC2626,#FFFFFF,#CC0000,celebration festive greeting lunar new-year poster spring-festival,Auspicious crimson + imperial gold on rose white — festive Chinese
232,Educational (Institutional),#1E3A5F,#FFFFFF,#2C4F7C,#FFFFFF,#B8860B,#0F172A,#F8F9FB,#0F1A2E,#FFFFFF,#0F1A2E,#EDF0F5,#6B7280,#D8DDE5,#DC2626,#FFFFFF,#1E3A5F,academy campus institutional management school structured university,Academic navy + heritage gold on cool white — institutional authority
233,Educational (Gamified),#7C3AED,#FFFFFF,#A78BFA,#FFFFFF,#10B981,#0F172A,#FEFCFF,#1E1040,#FFFFFF,#1E1040,#F3EEFA,#7C7590,#E5DCF5,#DC2626,#FFFFFF,#7C3AED,colorful fun gamified interactive kids learning nature playful spring,Playful violet + emerald reward — gamified education energy
234,SaaS (Warm Editorial),#92400E,#FFFFFF,#78350F,#FFFFFF,#0369A1,#FFFFFF,#FFFBF7,#1C1917,#FFFFFF,#1C1917,#F5EDE5,#78716C,#E7DDD0,#DC2626,#FFFFFF,#92400E,academic content editorial informational publication scholarly warm,Warm sienna ink on parchment — editorial warmth + blue link accent
235,Fintech (Enterprise),#0F4C75,#FFFFFF,#1B6FA8,#FFFFFF,#0E7C86,#FFFFFF,#F5F7FA,#0A1929,#FFFFFF,#0A1929,#E8EDF3,#5A6B7E,#D0D8E3,#DC2626,#FFFFFF,#0F4C75,asset authoritative banking enterprise finance institutional structured,Deep steel blue trio on cool grey — enterprise financial authority
236,Government/Public Service,#1D4E89,#FFFFFF,#2A6CB5,#FFFFFF,#C53030,#FFFFFF,#F7F8FA,#111827,#FFFFFF,#111827,#EBEEF3,#6B7280,#D5DAE3,#DC2626,#FFFFFF,#1D4E89,civic government grid-based informational legal public service utilitarian,Civic blue + flag red on neutral white — institutional public service
237,Dashboard (Dense Dark),#22D3EE,#0F172A,#06B6D4,#0F172A,#F59E0B,#0F172A,#0F1117,#E2E8F0,#1A1D26,#E2E8F0,#242832,#94A3B8,#2D3340,#EF4444,#FFFFFF,#22D3EE,agriculture dark dense industrial monitoring pest surveillance utilitarian,Cyan data pulse on deep void — industrial monitoring dark
238,Creative Agency (Editorial),#3E4759,#FFFFFF,#333333,#FFFFFF,#C04D03,#FFFFFF,#FFFDF8,#1A1A1A,#FFFFFF,#1A1A1A,#F5F0E8,#6B6B6B,#E5DDD0,#DC2626,#FFFFFF,#3E4759,agency creative editorial lifestyle magazine minimalist retail,Black ink + burnt orange CTA on warm parchment — editorial authority
239,Healthcare (Wellness),#2D7A6D,#FFFFFF,#246455,#FFFFFF,#E8A87C,#0F172A,#FAFDF9,#1A2E28,#FFFFFF,#1A2E28,#EDF5F0,#5A7A70,#D5E5DB,#DC2626,#FFFFFF,#4A9D8E,calm oriental serenity spa wellness,Sage teal + warm peach on mint white — wellness serenity
240,Healthcare (Clinical),#0077B6,#FFFFFF,#0096C7,#FFFFFF,#00B4D8,#0F172A,#FFFFFF,#023E58,#FFFFFF,#023E58,#E8F4F8,#4A7A8C,#CCE5ED,#DC2626,#FFFFFF,#0077B6,clinical healthcare laboratory medical precision serene utilitarian,Clinical cerulean gradient on sterile blue-white — medical precision; bg neutralized
241,Greeting Card / Invitation,#C9445A,#FFFFFF,#B85566,#FFFFFF,#7B9E6B,#0F172A,#FFF9F7,#2D1F2A,#FFFFFF,#2D1F2A,#F5ECEA,#8B7B80,#EADDD8,#DC2626,#FFFFFF,#D4697A,card floral greeting invitation pastel romantic seasonal soft wish,Rose petal + sage leaf on blush — greeting card warmth
242,Tech Event / Conference,#6D28D9,#FFFFFF,#7C3AED,#FFFFFF,#06B6D4,#0F172A,#0A0A1A,#E2E8F0,#151530,#E2E8F0,#1E1E3A,#94A3B8,#2D2D50,#EF4444,#FFFFFF,#6D28D9,conference cyberpunk event expo futuristic hackathon summit tech,Electric violet + neon cyan on deep space — tech event spectacle
243,Science / Astronomy Education,#1E40AF,#FFFFFF,#3B82F6,#FFFFFF,#F59E0B,#0F172A,#050A20,#E2E8F0,#0F1535,#E2E8F0,#1A2040,#94A3B8,#253060,#EF4444,#FFFFFF,#1E40AF,astronomy cosmic galaxy planet science simulation solar space star universe,Deep space blue + stellar amber on cosmic void — astronomy education
244,Festival (Dragon Boat),#2D6A4F,#FFFFFF,#3A7D60,#FFFFFF,#A68B3C,#0F172A,#F5FAF7,#1B3D2E,#FFFFFF,#1B3D2E,#E8F0EB,#5A7A68,#D0DED5,#DC2626,#FFFFFF,#2D6A4F,bamboo dragon-boat dumpling festival green mugwort traditional zongzi,Bamboo green + zongzi gold on misty white — Dragon Boat serenity
245,Festival (Mid-Autumn),#1E3A5F,#FFFFFF,#264B75,#FFFFFF,#C8972E,#0F172A,#F8F6F0,#0F1D30,#FFFFFF,#0F1D30,#EBE8E0,#6B7B8A,#D5D0C5,#DC2626,#FFFFFF,#1E3A5F,autumn festival lantern mid-autumn moon mooncake moonlight reunion,Moonlit navy + harvest gold on warm ivory — Mid-Autumn warmth
246,Festival (Qixi),#7B2D8E,#FFFFFF,#6B2580,#FFFFFF,#D4697A,#0F172A,#FDF8FF,#2D1040,#FFFFFF,#2D1040,#F3EAF5,#7A6B80,#E5D8EA,#DC2626,#FFFFFF,#7B2D8E,love magpie qixi romantic starlight valentine chinese-valentine,Purple dusk + rose blush on lavender white — Qixi romance
247,Festival (Christmas),#1B5E38,#FFFFFF,#16753A,#FFFFFF,#B91C1C,#FFFFFF,#FFF8F0,#0F2D1A,#FFFFFF,#0F2D1A,#E8F0E8,#5A6B5A,#D0DDD0,#DC2626,#FFFFFF,#1B5E38,christmas holiday santa winter xmas evergreen pine gift,Evergreen + holly red on warm snow — Christmas classic
248,Festival (Halloween),#E87F1A,#0F172A,#CC6D10,#FFFFFF,#6B21A8,#FFFFFF,#1A1425,#E8DDD0,#221830,#E8DDD0,#2D2240,#8B80A0,#3D3355,#EF4444,#FFFFFF,#E87F1A,halloween horror october pumpkin spooky trick-or-treat,Pumpkin orange + witching purple on midnight — Halloween eerie
249,Festival (Easter / Spring),#4A7A3A,#FFFFFF,#3D6630,#FFFFFF,#D4A0C0,#0F172A,#FFFDF5,#2D3D20,#FFFFFF,#2D3D20,#F0F5E8,#6B7A60,#DDE5D0,#DC2626,#FFFFFF,#4A7A3A,bunny easter egg pastel blossom renewal springtime,Meadow green + petal pink on cream — Easter freshness
250,Traditional Craft / Cultural Brand,#1A3A5C,#FFFFFF,#15304D,#FFFFFF,#6B5540,#FFFFFF,#F5F3EF,#0F1D2F,#FFFFFF,#0F1D2F,#E5E0D8,#6B7580,#D0CCC5,#DC2626,#FFFFFF,#1A3A5C,brush calligraphy indigo ink-wash landscape literati sumi-e watercolor,Ink-wash indigo + aged bronze on xuan paper — scholarly literati
251,Traditional Craft / Cultural Brand,#2D6B5A,#FFFFFF,#24584A,#FFFFFF,#C4A35A,#0F172A,#F8FAF5,#153028,#FFFFFF,#153028,#E5EDE8,#5A7A6B,#D0DDD5,#DC2626,#FFFFFF,#2D6B5A,celadon ceramic jade porcelain songware tea zen,Celadon green + kiln gold on bamboo white — Song dynasty elegance
252,Traditional Craft / Cultural Brand,#59274D,#FFFFFF,#3D1A35,#FFFFFF,#B8860B,#0F172A,#FAF5F0,#200E1A,#FFFFFF,#200E1A,#F0E8E5,#7A6070,#E0D5D0,#DC2626,#FFFFFF,#59274D,antique bronze copper lacquer patina rosewood sandalwood vintage,Rosewood purple + antique brass on warm ivory — curio cabinet patina
253,Pitch Black Productivity,#5E6AD2,#FFFFFF,#828FFF,#FFFFFF,#00DCFF,#000000,#010102,#F7F8F8,#0F1011,#F7F8F8,#141516,#8A8F98,#23252A,#EF4444,#FFFFFF,#5E6AD2,linear vercel cursor resend developer-tool b2b-saas productivity ai-platform pitch-black neon technical infrastructure documentation,Linear-authentic pitch-black + Linear lavender + Vercel-cyan workflow accent. WCAG-tightened.
254,Editorial Enterprise,#3E4759,#FAF9F5,#2C2C2C,#FAF9F5,#B22222,#FFFFFF,#FAF9F5,#0F0F0F,#FFFEFA,#0F0F0F,#EAE7DF,#6B6B6B,#D8D4CC,#B22222,#FFFFFF,#3E4759,bloomberg ft financial news enterprise reporting editorial serif authority newspaper authoritative data-journalism corporate research executive-intelligence b2b-media,Newsprint cream + deep ink + Bloomberg/FT authority red. Editorial dense data.
255,Tanaka Poster Modernism,#59493E,#F7F4ED,#8A1E3B,#F7F4ED,#B91C1C,#FFFFFF,#F7F4ED,#1C1917,#FFFEF8,#1C1917,#EDE8DC,#6B5F4F,#DBD3C0,#B91C1C,#FFFFFF,#59493E,tanaka japanese poster modernism cultural museum tea zen lacquer vermilion indigo gold restraint art-gallery exhibition traditional-craft fashion-editorial,Off-white paper + lacquer black + vermilion/indigo accents. Japanese modernist poster.
256,Brand Identity / Cultural Institution,#DC2626,#FFFFFF,#000000,#FFFFFF,#FFE600,#000000,#FFFFFF,#000000,#FFFFFF,#000000,#F5F5F5,#404040,#000000,#DC2626,#FFFFFF,#DC2626,pentagram paula-scher supergraphic brand-identity cultural-institution museum design-agency festival publisher art-platform corporate-brand bold-typography display,Bold supergraphic brand: vivid red + yellow + pure B&W. For huge typography sites. [Primary darkened from #FF4500 for WCAG 4.5:1]
257,Public Service / Wayfinding,#1B6BB0,#FFFFFF,#5BA1D8,#0F1729,#B0510B,#FFFFFF,#F5F7F9,#1F1F1F,#FFFFFF,#1F1F1F,#E8ECEF,#525252,#C8CFD5,#B91C1C,#FFFFFF,#1E40AF,aicher pictogram olympic signage wayfinding modular system international navigation public-service government education transit healthcare exhibition-guide multi-language,Otl Aicher Munich 1972 palette: sky blue + Munich orange + silver. Accent darkened from #F39200 for WCAG.
258,Indie Music / Counterculture Editorial,#3E4759,#F0EDE5,#534966,#F0EDE5,#C2410C,#FFFFFF,#F0EDE5,#1A1A1A,#E8E4D8,#1A1A1A,#D6D0BF,#6B6357,#A8A192,#7C2D12,#FFFFFF,#3E4759,carson ray-gun deconstructed grunge experimental indie-music counterculture art-platform underground zine festival creative-agency portfolio chaos layered,Distressed warm newsprint + rust accent. Carson-style grunge editorial palette.
259,Notion Warm Workspace,#0075DE,#FFFFFF,#005BAB,#FFFFFF,#B14600,#FFFFFF,#FFFFFF,#31302E,#F6F5F4,#31302E,#F6F5F4,#615D59,#E8E5E1,#DD5B00,#FFFFFF,#0075DE,notion knowledge-base documentation collaboration team workspace handbook wiki warm friendly enterprise serif productivity,Notion-authentic warm whites + Notion blue + warm orange. Accent darkened from #DD5B00 for WCAG.
260,Cursor Warm Dev Tool,#CC4100,#FFFFFF,#D04200,#FFFFFF,#0D7377,#FFFFFF,#F7F7F4,#26251E,#FFFFFF,#26251E,#E6E5E0,#5A5852,#CFCDC4,#CF2D56,#FFFFFF,#F54E00,cursor warm-cream dev-tool ai-editor editorial-dev jetbrains-mono ide developer-tool warm productivity orange,Cursor-authentic warm cream canvas + Cursor primary-active. Adjusted from #F54E00 for WCAG 4.5.
261,Premium SaaS (Stripe),#533AFD,#FFFFFF,#4434D4,#FFFFFF,#C81E55,#FFFFFF,#FFFFFF,#061B31,#FFFFFF,#061B31,#F5F6FB,#64748D,#E1E5EE,#EA2261,#FFFFFF,#533AFD,stripe premium-saas fintech payments b2b-saas modern enterprise purple violet luxury financial-tools billing,Stripe-authentic purple + deep navy heading + ruby. Accent darkened from #EA2261 for WCAG.
262,Maps & Navigation,#1A73E8,#FFFFFF,#34A89D,#0F172A,#FF9500,#1C1C1E,#FFFFFF,#202124,#F8F9FA,#202124,#E8EAED,#5F6368,#DADCE0,#EA4335,#FFFFFF,#1A73E8,map navigation gps route location wayfinding directions light,Light UI chrome + route blue + destination green + traffic amber
263,Maps & Navigation,#4285F4,#1C1C1E,#30D1CA,#1C1C1E,#FF9F0A,#1C1C1E,#1C1C1E,#FFFFFF,#2C2C2E,#FFFFFF,#3A3A3C,#8D8D93,#48484A,#FF453A,#FFFFFF,#4285F4,map navigation night dark gps route location wayfinding,Night mode dark map + electric blue route + system green destination
