No,Product Type,Keywords,Primary Style Recommendation,Secondary Styles,Landing Page Pattern,Dashboard Style (if applicable),Color Palette Focus,Key Considerations
158,Emergency SOS & Safety,"emergency, sos, safety, alert, location, help, danger, crisis, first-aid, guard, bsafe",Accessible & Ethical + Flat Design,"Dark Mode (OLED), Minimalism & Swiss Style",Trust & Authority + Social Proof,N/A - Safety focused,Alert red + safety blue + location green + high contrast critical,One-tap SOS. Emergency contacts auto-notify. Live location sharing. Fake call feature. Safe walk mode. Local emergency numbers.
159,Wallpaper & Theme App,"wallpaper, theme, background, customize, aesthetic, home-screen, lock-screen, widget, design, zedge",Vibrant & Block-based + Aurora UI,"Glassmorphism, Motion-Driven",Feature-Rich Showcase + Social Proof,N/A - Gallery focused,Content-driven + trending aesthetic palettes + download accent,Category browsing. Preview on device. Daily wallpaper auto-set. Widget matching. Creator uploads. Resolution auto-fit.
160,White Noise & Ambient Sound,"white noise, ambient, sound, sleep, focus, rain, nature, relax, concentration, background, noisli",Minimalism & Swiss Style + Dark Mode (OLED),"Neumorphism, Organic Biophilic",Minimal & Direct + Social Proof,N/A - Player focused,Calming dark + ambient texture visual + subtle sound wave + sleep blue,Sound mixer with multiple simultaneous layers. Sleep timer with fade. Custom soundscapes. Offline. Background audio.
161,Home Decoration & Interior Design,"home, interior, decor, design, furniture, room, renovation, ar, plan, inspire, 3d, houzz",Minimalism & Swiss Style + 3D Product Preview,"Organic Biophilic, Aurora UI",Storytelling-Driven + Feature-Rich,N/A - Project focused,Neutral interior palette + material texture accent + AR blue,AR room visualization. Style quiz. Product catalog with purchase links. 3D room planner. Mood board. Before/after.
162,Traditional Craft / Cultural Brand,"craft, artisan, heritage, cultural, traditional, tea, ceramics, silk, calligraphy, ink, oriental, luxury, museum, antique, handmade",Chinese Ink / Eastern Aesthetic + Minimalism & Swiss Style,"Editorial Grid / Magazine, Organic Biophilic, Eastern Craft Mobile, Japandi Mobile, Risograph Mobile, Bauhaus (包豪斯), Tanaka Poster Modernism",Storytelling-Driven,N/A,Ink black + rice paper white + vermilion red accent + stone grey,Generous whitespace echoing scroll painting. Vertical calligraphy headings where appropriate. Slow unhurried transitions (400-600ms). High-quality product photography with warm lustre lighting. Cultural authenticity over trendy decoration.
163,Payments / Checkout,"checkout, gateway, invoice, merchant, payment, payout, pos, receipt, settlement, transaction",Minimalism & Swiss Style + Flat Design,"Glassmorphism SaaS (Light Web), Accessible & Ethical",Trust & Authority + Demo,Transaction Monitoring + Merchant Dashboard,Trust navy + success green + gold secondary,Trust signals paramount. Minimal distractions during checkout flow. Clear transaction status. PCI compliance visual cues.
164,DevOps / Infrastructure,"apm, ci-cd, cloud-infra, container, deploy, devops, incident, kubernetes, observability, pipeline, terraform",Dark Cinematic SaaS + Flat Design,"Minimalism & Swiss Style, Data Art & Visualization, Pitch Black Productivity",Minimal & Direct + Demo,Data-Dense + Real-Time Monitoring,Dark background + status-coded alerts + high-density data,Information density is king. Real-time status updates. Alert severity color coding. Log readability at small font sizes.
165,API / Developer Platform,"api, developer, documentation, endpoint, graphql, openapi, rest, sandbox, sdk, webhook",Editorial Grid / Magazine + Flat Design,"Minimalism & Swiss Style, Dark Cinematic SaaS",Documentation + Interactive Playground,Usage Analytics + Rate Limit Dashboard,Neutral + code-block contrast + syntax highlighting,Code examples front and center. Interactive API explorer. Clear endpoint hierarchy. Copy-to-clipboard everywhere.
166,No-Code / Low-Code Builder,"automation, builder, drag-drop, low-code, no-code, visual-editor, workflow, wysiwyg, zap",Vibrant & Block-based + Glassmorphism SaaS (Light Web),"Aurora UI, Motion-Driven",Hero + Demo + Social Proof,Workflow Canvas + Template Gallery,Playful primary + canvas neutral + connection-line accent,Drag-and-drop clarity. Node/flow visualization. Template showcase. Progressive complexity disclosure.
167,Video Conferencing,"call, conference, meeting, screen-share, video, virtual-meeting, webinar, webrtc",Flat Design + Minimalism & Swiss Style,"Dark Mode (OLED), Glassmorphism SaaS (Light Web)",Minimal & Direct + Social Proof,Meeting Analytics + Scheduling Dashboard,Neutral background + active-speaker indicator + mute-status color,Video tile grid clarity. Minimal chrome during calls. Clear mute/camera status. Screen share readability.
168,Cloud Storage / File Sharing,"backup, cloud-storage, drive, file, folder, sharing, storage, sync, transfer, upload",Minimalism & Swiss Style + Flat Design,"Glassmorphism SaaS (Light Web), Accessible & Ethical",Minimal & Direct + Feature Comparison,Storage Usage + File Activity Dashboard,Trust blue + file-type icon colors + storage-usage indicator,File type visual differentiation. Upload/download progress clarity. Sharing permissions at a glance. Storage quota visualization.
169,CMS / Website Builder,"cms, content-management, headless, page-builder, site-builder, template, website-builder, wordpress",Vibrant & Block-based + Editorial Grid / Magazine,"Glassmorphism SaaS (Light Web), Minimalism & Swiss Style",Feature-Rich Showcase + Demo,Content Calendar + Site Analytics,Editor-neutral palette + template showcase vibrancy,Template gallery visual impact. Editor WYSIWYG clarity. Preview fidelity. Plugin/extension marketplace.
170,Social Commerce / Live Shopping,"douyin, influencer, kuaishou, live-commerce, live-shopping, social-commerce, social-selling, stream, tiktok-shop",Vibrant & Block-based + Aurora UI,"Motion-Driven, Dark Cinematic SaaS",Feature-Rich Showcase + Social Proof,Sales Analytics + Streamer Dashboard,Engagement red-pink + promotion gold + livestream indicator,Live indicator prominence. Real-time comment feed. Flash sale urgency. Product card overlay on video.
171,Industrial / Manufacturing,"assembly, erp, factory, industrial, manufacturing, mes, plant, production, quality-control, scada",Flat Design + Minimalism & Swiss Style,"Accessible & Ethical, Data Art & Visualization",Trust & Authority + Feature Comparison,Production Monitoring + Quality Dashboard,Industrial gray-blue + safety orange alerts + status green-red,Safety color compliance. High-contrast for factory floor screens. Status at a glance. Shift-based data views.
172,Logistics Dashboard,"dispatch, driver, eta, fleet, geofence, last-mile, manifest, route, shipment, tracking",Flat Design + Data Art & Visualization,"Minimalism & Swiss Style, Dark Cinematic SaaS",Trust & Authority + Demo,Route Map + Fleet Monitoring + KPI Dashboard,Map-centric + route polyline colors + delivery-status indicators,Map integration is primary. Route visualization clarity. Delivery status pipeline. ETA and delay highlighting.
173,HR / People Management,"employee, hiring, hris, human-resources, onboarding, org-chart, payroll, people, recruitment, talent",Glassmorphism SaaS (Light Web) + Flat Design,"Minimalism & Swiss Style, Accessible & Ethical, Enterprise SaaS (Mobile)",Hero + Features + Social Proof,People Analytics + Org Chart + Onboarding Flow,Warm professional + org-hierarchy visual coding,Org chart navigation. Employee directory search. Leave/attendance calendar. Approval workflow clarity.
174,Legal Tech / Contract,"clause, compliance, contract, document, e-sign, legal, nda, paralegal, signature, terms",Minimalism & Swiss Style + Editorial Grid / Magazine,"Flat Design, Accessible & Ethical",Trust & Authority + Feature Comparison,Contract Status Pipeline + Compliance Dashboard,Authority navy + signature green + clause-highlight amber,Document readability paramount. Clause highlighting. Signature flow clarity. Version diff visualization.
175,Point of Sale (POS),"cashier, checkout, counter, kiosk, order, pos, register, retail-pos, sale, terminal",Flat Design + Minimalism & Swiss Style,"Accessible & Ethical, Dark Mode (OLED)",N/A - Product focused,Sales Summary + Inventory Quick View,High contrast for bright-lit retail + large touch targets + price accent,Touch-first large buttons. Quick item lookup. Split payment clarity. Receipt preview. Works in bright retail lighting.
176,Survey / Form Builder,"feedback, form, poll, questionnaire, quiz, response, survey, typeform",Minimalism & Swiss Style + Motion-Driven,"Vibrant & Block-based, Glassmorphism SaaS (Light Web)",Minimal & Direct + Demo,Response Analytics + Completion Funnel,Focused single-question palette + progress indicator accent,One question per screen. Progress bar clarity. Response type variety (rating
177,Ticketing / Help Desk,"escalation, help-desk, issue, resolution, sla, support, ticket, triage, zendesk",Flat Design + Minimalism & Swiss Style,"Glassmorphism SaaS (Light Web), Accessible & Ethical",Trust & Authority + Feature Comparison,Ticket Queue + SLA Monitor + Agent Dashboard,Priority-coded (P0 red / P1 orange / P2 blue) + resolution green,Ticket priority visual hierarchy. SLA countdown prominence. Conversation thread readability. Agent workload balance view.
178,Project Management,"agile, board, epic, gantt, kanban, project, scrum, sprint, task-board, timeline",Flat Design + Glassmorphism SaaS (Light Web),"Minimalism & Swiss Style, Motion-Driven",Feature-Rich Showcase + Demo,Kanban Board + Gantt Chart + Sprint Board,Status-column colors + timeline visualization + priority badges,Board/list/timeline view switching. Drag-and-drop cards. Swimlane clarity. Due date visual urgency. Workload balance.
179,Whiteboard / Visual Collaboration,"brainstorm, canvas, diagram, figjam, flowchart, mindmap, miro, sticky-note, whiteboard",Vibrant & Block-based + Motion-Driven,"Aurora UI, Flat Design",Minimal & Direct + Demo,N/A - Canvas focused,Canvas white + colorful sticky-note palette + cursor-presence indicators,Infinite canvas navigation. Multi-cursor collaboration. Shape/connector toolbox. Sticky note color variety. Template library.
180,Digital Signage / Kiosk,"digital-menu, display, info-screen, kiosk, lobby, signage, wayfinding",Dark Cinematic SaaS + Flat Design,"Motion-Driven, 3D & Hyperrealism",N/A - Display focused,Content Schedule + Screen Fleet Dashboard,High contrast for ambient viewing + large type + brand-dominant accent,Viewing distance consideration. Auto-rotation content. Touch kiosk large targets. Ambient light readability. Brand template system.
181,SaaS (Warm Editorial),academic editorial journal platform research saas warm,E-Ink / Paper + Editorial Grid / Magazine,"Warm Organic Craft, Minimalism & Swiss Style",Serif Hero + Feature Prose + Social Proof,Warm-background data panels + serif headings,Warm ivory background + terracotta or olive accent,"Anthropic/Notion warmth — serif+sans pairing, warm off-white (#FAF9F5) base, underline emphasis over color"
182,SaaS (Dark Command),cli command dark developer infra night ops saas terminal,Dark Cinematic SaaS + Minimalism & Swiss Style,"Dark Mode (OLED), HUD / Sci-Fi FUI",Dark Hero + Code Snippet + Feature Grid,Midnight command center + neon accent metrics,Near-black base + single vivid accent (lime/cyan/violet),"Linear/Raycast tone — obsidian void, layered dark surfaces, accent used sparingly on CTAs only"
183,SaaS (Playful),colorful friendly gamified saas startup vibrant whimsical,Vibrant & Block-based + Playful SaaS Dashboard,"Claymorphism, Motion-Driven",Illustrated Hero + Bento Features + Testimonials,Colorful accent cards + rounded everything,Bold primary + multiple complementary accents,"PostHog/Duolingo energy — playful illustrations, generous rounding, color as personality not decoration"
184,AI Platform (Research),ai alignment frontier lab model research safety science,E-Ink / Paper + Warm Organic Craft,"Editorial Grid / Magazine, Minimalism & Swiss Style",Research-paper Hero + Publication Cards + Team Grid,N/A,Warm parchment base + single earth-tone accent,"Anthropic tone — academic authority, serif headlines, warm stone background, underline-based emphasis"
185,AI Platform (Product),ai api assistant chatbot generative gpt llm product tool,AI-Native UI + Minimalism & Swiss Style,"Dark Cinematic SaaS, Glassmorphism SaaS (Light Web)",Interactive Demo Hero + API Showcase + Pricing,Chat-centric + clean sidebar navigation,Neutral + single brand color (green/teal/violet),"OpenAI/Cursor tone — clean functional, AI presence via subtle gradient orb, not flashy effects"
186,E-commerce (Minimal),boutique curated ecommerce shop storefront gallery merchandise brand product,Product Showcase Minimal + Exaggerated Minimalism,"Minimalism & Swiss Style, Editorial Grid / Magazine",Full-bleed Product Hero + Grid Collection + Lookbook,N/A,Monochrome (black/white) + product color as accent,"Apple Store tone — product IS the decoration, near-zero UI chrome, typography as hierarchy"
187,E-commerce (Vibrant),bold bright colorful ecommerce energetic fun playful pop shop trendy young,Vibrant & Block-based + Gen Z Chaos / Maximalism,"Memphis Design, Motion-Driven",Collage Hero + Category Blocks + Flash Deals,N/A,Multi-color bold palette + high saturation,"Streetwear/youth brand energy — clashing colors intentional, sticker-collage aesthetic, type as graphic element"
188,Portfolio (Dark Cinematic),cinema creative dark gallery portfolio showcase work,Dark Editorial + Motion-Driven,"Exaggerated Minimalism, Parallax Storytelling",Full-screen Project Reel + Case Study Scroll,N/A,Deep black + warm off-white text + no color accent,"Gallery-at-night tone — work dominates 80%+ viewport, UI dissolves, monochrome palette lets work speak"
189,Portfolio (Brutalist),agency brutalist experimental portfolio raw studio unconventional,Brutalism + Kinetic Typography,"Anti-Polish / Raw Aesthetic, Neubrutalism",Full-viewport Type + Asymmetric Project Grid,N/A,High-contrast monochrome + one vivid signal color,"Counter-culture creative — default-font-stack honesty, visible grid structure, anti-polish as statement"
190,Dashboard (Warm),admin analytics comfortable cozy dashboard friendly panel,Playful SaaS Dashboard + Warm Organic Craft,"Flat Design, Soft UI Evolution",N/A,Sage-tinted background + rounded cards + warm palette,Warm neutral background + colorful metric accents,"PostHog-style warmth — olive/sage tinted canvas, data feels approachable not clinical"
191,Dashboard (Dense Dark),admin analytics dark dashboard dense devops monitoring ops,Dark Cinematic SaaS + Data-Dense Dashboard,"Real-Time Monitoring, HUD / Sci-Fi FUI",N/A,Midnight void + neon status indicators + compact spacing,Near-black base + status-color coded metrics (green/amber/red),"Grafana/Datadog tone — dark reduces eye strain, neon accents for alert states, high information density"
192,Healthcare (Clinical),clinic clinical doctor ehr health hospital medical patient records,Minimalism & Swiss Style + Accessible & Ethical,"Flat Design, Swiss Modernism 2.0, Clinical Clean Mobile",Trust Hero + Service Cards + Doctor Profiles,Clean white + blue accent + large type,Clinical white + trust blue + status colors,"Precision clinical — WCAG AAA priority, no decorative elements, information clarity over aesthetics"
193,Healthcare (Wellness),calm care gentle health holistic soft therapy wellness,Pastel Wellness (Mobile) + Nature Distilled,"Organic Biophilic, Soft UI Evolution",Calming Hero + Benefit Cards + Testimonials,Soft-toned trackers + botanical accents,Sage green + warm lavender + cream base,"Calm clinical canvas — nature-derived palette, round forms, breathing whitespace, never clinical-cold"
194,Creative Agency (Editorial),agency creative editorial elegant magazine refined studio,Editorial Grid / Magazine + Dark Editorial,"Exaggerated Minimalism, Parallax Storytelling",Magazine-spread Hero + Case Study Grid + Awards,N/A,Monochrome editorial + single accent for CTAs,"Pentagram/Sagmeister tone — typography IS the design, serif headlines, structured whitespace, work-first layout"
195,Creative Agency (Experimental),agency avant-garde creative experimental interactive studio unconventional,Motion-Driven + Interactive Cursor Design,"Kinetic Typography, Chromatic Aberration / RGB Split",Interactive Fullscreen + WebGL Canvas + Scroll Journey,N/A,Dark void + one electric accent + motion as color,"Award-show creative — the website IS the portfolio piece, custom cursor, scroll-driven narrative, technical showmanship"
196,Educational (Gamified),app fun gamified kids language learning play quiz rewards streak,Claymorphism + Vibrant & Block-based,"Micro-interactions, Playful SaaS Dashboard",Playful Hero + Feature Cards + Streak/Progress,Progress-bar dashboard + achievement badges,Bold green + orange rewards + achievement gold,"Duolingo energy — gamification visuals, mascot/character presence, dopamine-hit color rewards"
197,Educational (Institutional),academy campus education institution school university,Minimalism & Swiss Style + Trust & Authority,"Editorial Grid / Magazine, Accessible & Ethical",Campus Hero + Program Cards + Faculty + CTA,LMS-style course grid + calendar sidebar,Institutional primary (navy/crimson/forest) + neutral base,"University credibility — brand color as anchor, structured grid, photography-forward, accessible type scale"
198,Fintech (Consumer),app banking consumer easy finance friendly money neobank personal wallet,Vibrant & Block-based + Soft UI Evolution,"Claymorphism, Motion-Driven",Phone Mockup Hero + Feature Benefits + Social Proof,Card-based balance + colorful category charts,Bold brand primary + friendly accent + success green,"Cash App/Robinhood tone — approachable finance, bold colors signal youth/accessibility, not traditional bank gravity"
199,Fintech (Enterprise),b2b compliance enterprise finance institutional payment processing treasury,Minimalism & Swiss Style + Trust & Authority,"Swiss Modernism 2.0, Flat Design",Authority Hero + Capabilities Grid + Client Logos + Security,Data-dense financial tables + KPI header cards,Deep navy/charcoal primary + restrained accent + lots of white,"Stripe/Ramp tone — precision on white marble, single vivid accent reserved for CTAs, typographic authority"
200,Restaurant (Fine Dining),cuisine dark dining elegant fine gourmet michelin restaurant upscale,Dark Editorial + Exaggerated Minimalism,"Editorial Grid / Magazine, Motion-Driven",Full-bleed Food Photo Hero + Story + Menu + Reservation,N/A,Deep black + warm gold/cream text + food photography dominant,"Michelin-starred ambiance — dark backgrounds let food glow, serif typography for menu elegance, minimal UI chrome"
201,Restaurant (Casual/Fast),burger cafe casual diner fast-food quick restaurant takeout,Vibrant & Block-based + Flat Design,"Claymorphism, Motion-Driven",Bold Menu Hero + Category Grid + Order CTA,N/A,Warm red/orange + yellow accents + energetic palette,"Fast-casual energy — appetizing warm colors, large food imagery, prominent order button, quick scanning layout"
202,Greeting Card / Invitation,birthday card greeting invitation letter Mother's-Day postcard seasonal thank-you Valentine wish,Nature Distilled + Soft UI Evolution,"Pastel Wellness (Mobile), Chinese Ink / Eastern Aesthetic",Storytelling-Driven,N/A,Soft pastels + floral accents + warm neutrals,"Emotional warmth first — typography and illustration carry the mood; backgrounds should evoke paper/texture; N/A for dashboard"
203,Tech Event / Conference,conference cyberpunk exhibition expo hackathon meetup summit tech-summit,Cyberpunk UI + 3D & Hyperrealism,"Retro-Futurism, Glassmorphism",Hero-Centric Design + Feature-Rich,N/A,Vivid electric accent on deep dark base + neon highlights,"Event energy and FOMO drive design; dark bg lets neon/glow keynote visuals pop; speaker grid and schedule as secondary anchors; N/A for dashboard"
204,Science / Astronomy Education,astronomy cosmos galaxy nasa planet science solar-system space star universe,3D & Hyperrealism + Dark Cinematic SaaS,"Retro-Futurism, Cyberpunk UI",Immersive Experience + Hero,N/A,Deep space dark + stellar blue + amber highlights,"Cosmic immersion requires dark backgrounds; large hero imagery/3D renders; data visualization (orbit charts, planet sizes) with glow; N/A for dashboard"
205,Maps & Navigation,"map navigation gps route location wayfinding directions poi place discover explore transit walk drive commute traffic arrival departure","Map-Centric Navigation (Mobile) + Brand-Immersive Utility","Dark Mode (OLED), Flat Design Mobile",Utility/Tool Demo,Map-Centric Real-Time,Neutral map base + route blue + destination green + traffic semantic,"Full-screen map as primary canvas; floating bottom sheet for POI and route details; search bar capsule pinned at top; route polyline in accent color; ETA and distance in bold compact type; POI pin clustering; traffic color overlay (green/amber/red); turn-by-turn instruction banner"
